Russian,English
шлюз,Gateway
кабельтов,cable
киль,keel
трюм,hold
каюта,cabin
шкипер,skipper
флагшток,flagpole
фрукт,fruit
боцман,boatswain
норд,north
зюйд,south
ост,ost
вест,West
рейс,flight
брюки,trousers
апельсин,orange
кран,tap
баскетбол,basketball
бодибилдинг,body-building
бизнес,business
бизнесмен,businessman
чипсы,chips
компьютер,computer
футбол,football
фильм,movie
фильтр,filter
гамбургер,hamburger
джинсы,jeans
офис,office
спорт,sport
теннис,tennis
интернет,Internet
мотор,motor
свитер,sweater
авто,auto
автомобиль,automobile
населения,population
ребёнка,child
пор,since then
основе,basis
давно,for a long time
деле,in fact
минут,minutes
самый,most
слишком,too much
действия,actions
снова,again
главное,The main thing
спасибо,Thank you
кстати,By the way
самого,himself
разных,different
качества,quality
игры,games
стала,became
новой,new
причём,and
думаю,Think
Москвы,Moscow
куда,Where
нашего,our
вид,view
рядом,near
продукции,products
согласно,according to
проект,project
мало,few
руки,hands
дела,affairs
мог,could
работает,works
которым,which
труда,labor
услуги,services
опыт,experience
роль,role
уровня,level
рынка,market
каждого,everyone
часов,hours
ситуации,situations
легко,easily
сайте,website
несмотря,despite
существует,exists
самым,the most
стать,become
ваш,your
условия,conditions
данные,data
словам,words
центр,center
стране,country
точно,exactly
глаза,eyes
срок,term
составляет,amounts to
предприятия,enterprises
весьма,very
известно,known
правило,rule
дальше,further
культуры,culture
иметь,have
раньше,earlier
той,that
лица,faces
становится,becomes
настоящее,the present
проблем,problems
пути,ways
последние,latest
хочу,Want
кажется,Seems
мере,least
своём,his
раза,times
важно,important
самые,the most
хоть,though
обязательно,Necessarily
информацию,information
уровне,level
общества,society
говорят,They say
Россия,Russia
дети,children
городе,city
программа,program
первой,first
проведения,carrying out
